timestamp,open,high,low,close,volume
2025-07-08 00:30:00,108425.06,108483.48,108425.05,108444.82,8.66024
2025-07-08 00:31:00,108444.82,108444.83,108444.82,108444.83,2.68105
2025-07-08 00:32:00,108444.82,108444.83,108412.77,108412.77,3.2314
2025-07-08 00:33:00,108412.77,108412.78,108389.25,108389.26,2.76163
2025-07-08 00:34:00,108389.25,108389.26,108332.45,108332.45,2.9862
2025-07-08 00:35:00,108332.45,108332.47,108311.31,108328.0,4.97106
2025-07-08 00:36:00,108327.99,108354.43,108318.0,108354.42,2.90392
2025-07-08 00:37:00,108354.43,108376.82,108344.0,108367.85,6.11687
2025-07-08 00:38:00,108367.86,108374.88,108331.87,108331.88,6.0307
2025-07-08 00:39:00,108331.87,108371.7,108331.87,108371.7,4.88017
2025-07-08 00:40:00,108371.7,108408.41,108371.69,108408.4,4.75046
2025-07-08 00:41:00,108408.4,108429.53,108399.99,108429.52,4.06551
2025-07-08 00:42:00,108429.53,108509.98,108429.53,108489.46,32.7673
2025-07-08 00:43:00,108489.47,108497.43,108489.46,108497.42,12.00114
2025-07-08 00:44:00,108497.43,108522.35,108497.42,108522.35,3.15137
2025-07-08 00:45:00,108522.35,108525.0,108510.01,108512.01,3.92256
2025-07-08 00:46:00,108512.0,108512.01,108474.15,108474.15,4.19071
2025-07-08 00:47:00,108474.16,108497.42,108474.12,108497.41,3.05819
2025-07-08 00:48:00,108497.41,108505.07,108472.5,108473.59,9.21204
2025-07-08 00:49:00,108473.6,108473.6,108254.7,108279.99,34.92175
2025-07-08 00:50:00,108279.99,108288.04,108204.0,108211.76,9.44077
2025-07-08 00:51:00,108211.77,108241.42,108208.0,108241.42,9.45522
2025-07-08 00:52:00,108241.42,108390.0,108241.41,108365.33,25.81736
2025-07-08 00:53:00,108365.32,108365.32,108312.75,108327.16,7.61343
2025-07-08 00:54:00,108327.16,108334.18,108327.16,108331.67,3.11299
2025-07-08 00:55:00,108331.67,108396.57,108331.66,108396.57,4.7141
2025-07-08 00:56:00,108396.56,108396.57,108346.0,108364.88,5.14561
2025-07-08 00:57:00,108364.88,108369.0,108323.72,108323.72,2.86106
2025-07-08 00:58:00,108323.72,108323.73,108296.0,108300.0,3.36744
2025-07-08 00:59:00,108299.99,108300.0,108299.99,108299.99,0.44094
2025-07-08 01:00:00,108299.99,108300.0,108234.63,108234.64,4.01246
2025-07-08 01:01:00,108234.63,108260.92,108230.76,108230.76,4.84188
2025-07-08 01:02:00,108230.77,108230.77,108204.0,108214.0,7.2933
2025-07-08 01:03:00,108214.01,108222.94,108192.99,108222.94,2.95791
2025-07-08 01:04:00,108222.93,108242.41,108216.0,108236.74,2.87539
2025-07-08 01:05:00,108236.74,108242.94,108222.86,108222.86,2.60931
2025-07-08 01:06:00,108222.87,108222.87,108157.71,108200.12,7.16383
